Regulator	Target	MI	pvalue
hsa-miR-501-5p	MPP3	0.32872875919239175	7.77442508592685E-6
hsa-miR-532-3p	B3GALT2	0.34577668815713797	0.003887006843342533
hsa-miR-501-5p	CTTNBP2	0.34275612123521376	0.003887006843342533
hsa-miR-362-5p	ABCG4	0.3322568954967757	0.003887006843342533
hsa-miR-501-5p	TLL1	0.32893270677635744	0.003887006843342533
hsa-miR-501-5p	ZBTB18	0.3036825415884252	2.9542616175604053E-7
hsa-miR-501-5p	LINGO2	0.3451547512702171	7.77442508592685E-6
hsa-miR-501-5p	TES	0.37322373020906857	3.232969447708456E-10
hsa-miR-501-5p	PPP1R1B	0.32902216230039655	0.003887006843342533
hsa-miR-660-5p	GRM8	0.3253372551400891	0.003887006843342533
hsa-miR-500a-5p	B3GAT1	0.34922669333539585	0.003887006843342533
hsa-miR-500a-5p	FGF13	0.31230219514268676	0.003887006843342533
hsa-miR-501-5p	PLXNA2	0.3334520158925546	7.77442508592685E-6
hsa-miR-501-5p	LMX1A	0.3144028207261833	1.0211010703642387E-8
hsa-miR-501-5p	KIAA0319	0.337558707238361	7.77442508592685E-6
hsa-miR-500a-5p	KCNA5	0.3129464184677997	0.003887006843342533
hsa-miR-501-5p	DPYSL4	0.33643192083618634	2.9542616175604053E-7
hsa-miR-500a-5p	KHDRBS2	0.3140012742205201	0.003887006843342533
hsa-miR-501-5p	PADI2	0.30580833872938945	0.003887006843342533
hsa-miR-501-5p	SV2B	0.3423953237263881	1.8428017668270513E-4
hsa-miR-660-5p	CPNE4	0.3095371909584683	0.003887006843342533
hsa-miR-501-5p	EPHA8	0.3093736004597716	0.003887006843342533
hsa-miR-501-5p	GRM8	0.3290914108533764	3.232969447708456E-10
hsa-miR-501-5p	SLC24A2	0.3690773496401795	1.8428017668270513E-4
hsa-miR-362-5p	TNIK	0.3647227625961997	1.8428017668270513E-4
hsa-miR-501-5p	COL14A1	0.2956469074549786	0.003887006843342533
hsa-miR-501-5p	CLEC2L	0.3342618869262277	7.77442508592685E-6
hsa-miR-501-5p	DRAXIN	0.33092888363507156	0.0
hsa-miR-501-5p	KCNA5	0.3172620427082041	2.9542616175604053E-7
hsa-miR-501-5p	UBE2QL1	0.31910914535561946	0.0
hsa-miR-501-5p	FBXO2	0.3478862712210615	0.0
hsa-miR-501-5p	CHGB	0.3498777370312181	1.8428017668270513E-4
hsa-miR-501-5p	PRL	0.3446364912835674	0.003887006843342533
hsa-miR-500a-5p	YPEL2	0.326460673015621	2.9542616175604053E-7
hsa-miR-501-5p	RALYL	0.3236541209256286	7.77442508592685E-6
hsa-miR-532-3p	FBXO2	0.29429158161968516	0.003887006843342533
hsa-miR-660-5p	OTOP3	0.32995818732086857	0.003887006843342533
