gene	MB064	MB350	MB215	MB224	MB178	MB055	MB329	MB296	MB161	MB279	MB234	MB157	MB328	MB028	MB317	MB372	MB137	MB309	MB285	MB269	MB158	MB334	MB228	MB264	MB299	MB327	MB199	MB311	MB151	MB025	MB229	MB181	MB305	MB056	MB225	MB262	MB166	MB062	MB102	MB242	MB118	MB223	MB155	MB209	MB321	MB232	MB024	MB020	MB276	MB057	MB243	MB071	MB271	MB048	MB153	MB038	MB159	MB103	MB063	MB240	MB067	MB197	MB332	MB114	MB170	MB316	MB206	MB359	MB192	MB172	MB227	MB162	MB263	MB268	MB331	MB207	MB164	MB188	MB346	MB320	MB027	MB254	MB238	MB282	MB239	MB167	MB236	MB322	MB255	MB272	MB244	MB212
SAMD11	0	0	0	0	1.96010638840354	0	0	1.54418488543554	0	1.49711179521236	0	0.836123944279056	0	0	0.677446331682182	0	0.324737675355057	0	0	1.53169021202237	4.15871866577028	0	2.23677879172973	1.3621081449187	0	0.904916616307512	4.10340998773162	0	0.0370910895312017	0.0838332015346121	0.810939597421305	0	1.8795225411526	0	0	1.2630213404616	4.43344194939244	4.27549322110527	0	7.09067613029933	1.30578088338341	1.95341117645353	5.73305973758151	3.43436141329209	4.37071788869059	3.98317364651355	5.48855423200207	6.61019676678158	0.411516072581282	2.11669190052018	0	3.66433564747784	4.54314961795373	4.20071529793679	4.52643586050277	3.46765072290422	4.47071597925514	2.22251005949383	1.04483835427862	4.60875196629241	2.64082582887803	0	0	0	2.99033665055667	0	0	0	1.68252448577477	0	0	0	0	0	0	0	3.05169656324305	0	5.54005193233508	0	1.29187658267136	2.8780303251367	0	0	0	0	0	0	0	0	0	0
MXRA8	2.12957756478958	2.51117388964322	1.55740058682896	0.914314987830414	2.54736639440665	0	0	1.10794607667347	0	2.8664854707955	0	1.46858840081201	1.93868182782755	3.27716587616156	3.85208815706312	0	0.632690204170037	1.28042407739437	0	0	2.86913964177897	1.2347958328859	3.42577237816379	0	2.2133614586219	0	0.67439754760096	0	0.282632999916293	4.49863086684239	1.40890963603459	1.50166189567102	4.20071529793679	0.473370072097618	2.33394591612679	0.732498241546275	0	0.0296254704166796	0	0.185711908521255	0	0	0	0	0	0	0.25543836348634	0.716008288888087	0	0	0	0	0.021496644230399	3.18771849731828	0	0.704549147073157	0	0	0	0.581635123410591	0	0	0	0	0	0	3.52173481185204	0	0	3.99715732244491	1.72725196717228	0	0.202488727176689	2.11021692356762	0	0	0	0	0.088933277251679	1.98920454651038	3.15054006817761	0	3.37696949193603	3.84043621484178	0	0	0	0.96846053507855	3.0908690516925	1.95341117645353	3.46264225254841	2.36972145654362
ANKRD65	3.56041840729372	4.1724063156464	4.26744812596758	3.50690389168563	3.01455061365341	2.92702197412368	2.60818334703108	2.68050349697317	1.62023385843858	3.62810965180374	2.89223778601276	2.42775555378626	3.44868107110682	4.26744812596758	4.06716719401179	1.48954506320204	0.433543925028959	1.29236743689828	5.32501174737658	1.72562111601031	3.47759613378546	2.62114259582905	0.197564567652533	0	2.11788913541828	2.53396690145276	6.61019676678158	1.12755417997975	0.573731308600948	1.36263965934676	0.597826645939318	2.49369803574773	2.7718080013832	2.77981701124096	2.18396456480224	2.32684874531711	0	2.30895840873419	0	6.03317419192393	0	0.851625378377343	0.702723469807261	0	0	0	0	0	2.713823077398	0.860837213126148	0.277923590129358	0	0	0.371751504178231	0	0	0	0	0	0	0	0	0	0.986958477019899	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CFAP74	0	0.200899315415614	0.0378926059487739	0	0	1.43972193427954	0.0990395836307665	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0339851995798703	0	0	0	0	0	0	0	0	0	1.14315642221531	0	0	0	0	0.0394960590245759	4.81281488012074	0.596439495428222	0	0	0	0	0	5.02754037315444	5.3094944735	2.57642370930823	3.5126140112115	3.66433564747784	1.32207473847066	3.90753400172972	0	3.94465264408245	5.73305973758151	2.34513746966298	5.43202595487594	0.0504851544195912	4.03941056805889	0	0	3.95147374888531	2.8579891680127	0	2.18868664571602	0	0.0255177538365243	0	0	3.09741149413715	0	0	0	0.148995814202572	0	1.21368679238936	0	0.371324655887771	0	0	1.69760102347645	0	0.642917819019619	0	4.2393348905368	1.12877532221983	2.8780303251367	0	0	1.26585689634972	0	0	0	0
GABRD	2.07108105778253	4.31370348752481	2.45180007199468	1.18693794471697	4.10340998773162	1.60568918191208	1.59375961205311	1.39665135465105	0.801418438944465	3.49914531457254	1.93386839872887	4.6355946533839	0	4.22004119505182	0	0	2.50327580915917	0	2.9444681110004	0	0.0542471665750831	1.72285262510587	0	0	0	0	0.0855908537107852	0	0	0.187509695548143	1.96448980333681	0.191716945063457	0	2.47141604462606	2.91590173230468	5.60295941870928	0.551990923852732	0	0	0	0	0	2.11788913541828	0	1.39888712744519	0	2.73106951488508	0.239155385715095	0.0607033083007361	0.747794394926749	0	0.0286653234624667	2.39115565991082	0	3.95818280967647	0	0.263412995965412	0	0	0	0	0	0	0	0	0	0	3.04847623693989	1.4379578258112	0.757199109832904	0	0.213414183411358	0	0	0	1.72026207396814	0	0	1.55118879346109	0	0	0	4.07440087472914	0.74425430548558	4.15871866577028	0	0	5.52405683651393	0	1.29038344816405	0.901828737681654	0
PLCH2	0	0.11634058203891	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0552379015185466	2.42425142968011	0	2.99328775883206	1.47325559153628	4.0544713051043	1.160763535875	1.84083837476209	0	1.31047136111622	0.770717410153406	0	2.72591940406488	1.95341117645353	3.66433564747784	0.0963065150053258	2.50132499896827	1.63578044318244	0.724578447066406	2.84768639729805	0	3.29637671048773	3.0908690516925	0.203462964464418	0.0132438158384742	2.60818334703108	1.35420232926996	1.67508852720126	0.818449585304102	0.886245244020539	0	0	0.512615745229654	3.16757503100894	1.03370191366915	0.440927946264786	1.72199922740322	2.03848441047729	1.43204283656453	0.383763513956318	0.966955554865075	1.13949658315454	0	0	3.42259158675248	0	2.47141604462606	1.11350952978489	0	0	0	0	0	2.28048287155127	0	0	0	0	0	3.8340476607549	0	2.45950471605645	0	0	2.45757954401063	0	2.5913232537154	0	3.12430548183676	2.45180007199468	0	1.51410026112664	0	0	0.67439754760096
MEGF6	1.67335084504532	4.27549322110527	1.76371487558383	1.73316186734949	2.69015246463801	1.17537076471673	1.15095522780695	2.91590173230468	3.81011542668741	3.3076812054825	2.58044517323847	3.40120455455657	3.88144514615377	2.90140509796128	0	0.503476912675834	0	0	1.89323459556668	0	3.30057380330594	0	0	0	0	1.31223871925669	2.42076137030888	0	0	1.36827203576204	0	0.149752044727391	0	0.307871279785436	0	0	1.55118879346109	0	2.15740605309632	0	0	0.357265806419658	0	0	1.4522862141539	0.0867440831940988	0	3.65350036411634	0	0.108405075647589	1.97175863825073	0.317628432579909	2.15606709196641	1.37051341146864	0	0	0	0	0	0	0.270935337100558	0	0	0	0	0	0	2.27580525650139	3.85208815706312	0	2.2242148944837	4.40749395263834	0	0	1.68350914595946	3.29637671048773	0.354132607906745	0	1.40568503107177	0	0	0	0	0	4.92769475433421	3.57417770887909	4.19424100206516	0	0	0	0.0320596412918846	0
TP73	0	0.00683271093720306	0	0	0	0	0	0	0.683094358049579	0	0	0	1.35827967550988	0.0411242484357106	0	0	0	0	0	0	2.8579891680127	0	0.371606612717325	0	0	0	0	0	0	0.572469468098746	0	0	0	0	0	0	3.22807366470323	0.74626418684181	0	0	1.81699693750235	2.66140143956173	2.47692783160662	0	2.36972145654362	0.118809522619967	0.48563600323527	0	0.630206545711289	0.583867797714577	1.77548635640519	0	1.348879533366	1.70193618002516	3.44868107110682	1.3215789241174	0	0	0	1.88713634918673	4.01840085685254	1.29809652016691	0.784015572239791	0.612821451697359	2.62542409494943	4.31975255486092	0.577022685277524	3.62810965180374	5.15090948685461	3.6223806470406	0.512273546495294	4.69068364614775	0.712015756928243	0	0.798511277224407	3.96345391234491	2.64795677087291	0.651697478539642	2.50721953045998	0	0	0	0	0.39122057893887	4.2393348905368	1.95673868826244	3.23195906517111	0	0	0	1.46044856569414	0.373639931010211
AJAP1	0	0	0	0	0	5.78265182150175	1.2059692176335	0	3.258771047415	0.673638865472125	0.401851701414941	0	0	0	4.29868791196994	0	6.03317419192393	0	5.60295941870928	6.5721310910619	0	0	0	1.88485730118034	2.43851519821929	0	0	0	0.936642073736203	0	2.93900168344108	0	4.29868791196994	0	1.32646636157438	0	0	0	0	0	0	1.01428775949857	0	0	0	0	3.65789563133688	1.93161931252858	0	3.19507006945361	0	0	2.64795677087291	0	1.2511398452021	1.91251724758567	0.581466419927354	1.77238789909265	0	1.22491752943981	0	0	0	0	1.52151116504222	1.84832858219273	0	0	0	0	5.29345931158784	0	0	0.657618721537984	1.7281776175514	0	0	0	0	0	0	0.997584907309167	0	3.90753400172972	1.27674427690986	0	6.03317419192393	1.28837890750059	1.33548135053938	2.08213746651514	1.00067185483691	2.08996353719048
CHD5	0	0	0	0	0	2.33064202992143	0	0	3.32072224906163	1.57310681800764	0	0.772253767511606	0	0	0	0	1.33375019184704	2.70332180980852	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.2691503207854	0	0	0	1.54914136835499	0	0.469059041000541	0	0	4.6009755696711	0	0	1.37785565057924	1.63404336654269	0	0	1.99384466744544	0	0	1.32027298185389	3.25487577306927	0	2.22104683065741	0	2.63420562864164	0	1.56391895466119	0	0	2.31858851103483	1.2996053725395	0	5.20723354953067	6.77302860031329	5.55846073208959	4.01066000183876	6.03317419192393	2.80605573985365	5.55846073208959	4.77981041044873	0.221879965607276	3.64845439680354	1.70669927275018	6.19688160079931	0	5.55846073208959	0.0528771732240082	4.98764238862375	0	2.88411935624948	2.17143589202057	3.63913119736408	2.15472656296566	1.93520926108689	5.41289499790738	3.15367625919711	5.34406532140562	5.64802009033727	5.43202595487594	0.374530687330123
