Regulator	Target	MI	pvalue
hsa-miR-514a-5p.1	MAB21L1	0.30650599559503927	0.03056521468019202
hsa-miR-514a-3p.1	SHOX2	0.3110792536655866	1.095617876423205E-7
hsa-miR-514a-5p	CLEC2L	0.35636912118519076	1.4641621248756564E-12
hsa-miR-514a-5p.2	RALYL	0.3041503950721528	0.03056521468019202
hsa-miR-514a-5p.1	CAMSAP3	0.3238141916312169	0.03056521468019202
hsa-miR-514a-5p.2	hsa-miR-514a-5p	1.1078596391336581	0.0
hsa-miR-514a-5p	EOMES	0.37064456642374466	0.0030079980454249533
hsa-miR-514a-5p.2	PDE4B	0.34091000044450787	2.669497897906936E-4
hsa-miR-514a-5p.1	hsa-miR-514a-5p	1.1120939263126868	0.0
hsa-miR-514a-5p	PEX5L	0.3150839780705832	0.03056521468019202
hsa-miR-514a-5p	RIPOR2	0.3371112626256839	2.669497897906936E-4
hsa-miR-514a-5p.1	YPEL2	0.35616157058898046	0.0030079980454249533
hsa-miR-514a-5p.2	ABO	0.3488858209692628	0.0030079980454249533
hsa-miR-514a-5p	SH3BP5	0.3412829861120688	1.095617876423205E-7
hsa-miR-514a-3p.2	hsa-miR-514a-3p	1.3882503796169885	0.0
hsa-miR-514a-5p.2	hsa-miR-514a-5p.1	1.1153826890831868	0.0
hsa-miR-514a-5p.1	KHDRBS2	0.31673179210179075	0.03056521468019202
hsa-miR-514a-5p.1	SNCAIP	0.3592351721280395	0.03056521468019202
hsa-miR-514a-5p.2	RASGRP2	0.33337644605123434	2.156902102723457E-5
hsa-miR-514a-5p	ABO	0.3128837604066271	0.03056521468019202
hsa-miR-514a-5p.1	CLEC2L	0.353906973192081	0.0030079980454249533
hsa-miR-514a-5p	SNCAIP	0.3198555788893482	2.669497897906936E-4
hsa-miR-514a-3p.1	CAMSAP3	0.33604870055187375	4.1435788133981077E-10
hsa-miR-514a-5p.1	KIAA0319	0.3290498250598597	2.669497897906936E-4
hsa-miR-514a-5p.1	GRM8	0.3162265823961221	2.669497897906936E-4
hsa-miR-514a-5p.2	PLAAT1	0.3321109300320179	2.156902102723457E-5
hsa-miR-514a-5p	PLAAT1	0.3373811760211124	1.599315270217616E-6
hsa-miR-514a-5p	DTX1	0.31672998318965456	1.599315270217616E-6
hsa-miR-514a-5p.2	B3GAT1	0.34298715540486124	1.4641621248756564E-12
