Regulator	Target	MI	pvalue
hsa-miR-376a-3p.1	CBLN4	0.38884333924699604	0.006366472323510175
hsa-miR-323b-3p	KCNK2	0.3441995417330214	1.7005388414093048E-5
hsa-miR-485-3p	PLPP4	0.33223002554583914	3.4665256145594014E-4
hsa-miR-539-3p	USH1G	0.39101441836636647	0.0
hsa-miR-539-5p	KIAA0319	0.4622425397550925	3.4665256145594014E-4
hsa-miR-380-3p	LONRF2	0.4195166835363567	0.0
hsa-miR-485-5p	ABO	0.3293176238669421	3.4665256145594014E-4
hsa-miR-380-3p	VRK2	0.29295102582342	0.006366472323510175
hsa-miR-539-3p	GABBR2	0.3783439866937673	3.107467616558779E-8
hsa-miR-323a-3p	KCNA1	0.48277087225371323	0.0
hsa-miR-485-3p	DYNC1I1	0.3673977489806862	7.589723516332469E-7
hsa-miR-539-5p	TMEM63C	0.3748178167212093	1.178607211826943E-9
hsa-miR-485-3p	TRIM9	0.38348592494319983	1.178607211826943E-9
hsa-miR-323a-3p	NPAS2	0.4737942198526787	0.0
hsa-miR-382-5p	BRINP1	0.37111192511849256	7.589723516332469E-7
hsa-miR-323a-3p	GLB1L3	0.36173982454734793	7.589723516332469E-7
hsa-miR-539-3p	GPR26	0.3701079377740608	1.7005388414093048E-5
hsa-miR-1185-5p	ANKS1B	0.4223711724306975	0.006366472323510175
hsa-miR-323a-3p	DCAF12L2	0.41671060969300633	7.589723516332469E-7
hsa-miR-323a-3p	ADGRV1	0.4024014198626681	0.0
hsa-miR-539-3p	NCAM2	0.4015126268170898	0.006366472323510175
hsa-miR-299-5p	SLC6A15	0.3397269829505165	3.4665256145594014E-4
hsa-miR-299-5p	CRYM	0.40196453823857464	0.006366472323510175
hsa-miR-369-5p	CHL1	0.3758619533722075	3.4665256145594014E-4
hsa-miR-380-3p	CELF5	0.36418265473203437	1.178607211826943E-9
hsa-miR-485-5p	SNCA	0.42288909704423555	1.178607211826943E-9
hsa-miR-299-5p	ALX1	0.3341482512022123	0.006366472323510175
hsa-miR-382-3p	VASH2	0.40855208877012	0.006366472323510175
hsa-miR-411-3p	ADGRV1	0.40688251104025436	0.006366472323510175
hsa-miR-299-5p	PYGM	0.40911800383344327	0.006366472323510175
hsa-miR-377-5p	NWD2	0.32732906025301645	1.7005388414093048E-5
hsa-miR-382-3p	TCEAL2	0.3833909096378128	0.006366472323510175
hsa-miR-654-5p	ARPP21	0.3226280432384544	0.006366472323510175
hsa-miR-323a-5p	NOS2	0.35209816747811745	3.107467616558779E-8
hsa-miR-485-5p	TRIM67	0.3230850604074661	3.4665256145594014E-4
hsa-miR-411-3p	HCN2	0.33962606777159277	3.4665256145594014E-4
hsa-miR-323a-3p	EN2	0.3288611774183702	3.4665256145594014E-4
hsa-miR-654-3p	CRABP2	0.32383286382503634	3.107467616558779E-8
hsa-miR-323b-3p	LY6H	0.3192609334926856	3.4665256145594014E-4
