Regulator	Target	MI	pvalue
hsa-miR-940	SLC6A15	0.36271169749693905	0.0
hsa-miR-940	DISC1	0.3000804374516399	3.621935216802097E-5
hsa-miR-940	CAMK2N1	0.31248127020629823	0.009355904602562637
hsa-miR-940	BMF	0.31716708808328364	4.070565551295147E-9
hsa-miR-940	RIPOR2	0.3163753440650169	3.621935216802097E-5
hsa-miR-940	CLDN19	0.31466800397211797	1.6570689265194005E-10
hsa-miR-940	TULP1	0.3142433737374538	3.621935216802097E-5
hsa-miR-940	PCK2	0.3016717035281996	3.621935216802097E-5
hsa-miR-940	KCNIP3	0.29622605903423377	6.169504907088674E-4
hsa-miR-4717-3p	hsa-miR-4717-5p	0.5739793109919602	0.0
hsa-miR-940	LIN28B	0.3571826219381436	9.220721908231866E-8
hsa-miR-940	CAPN13	0.32296213634396226	0.0
hsa-miR-940	EN2	0.31767020726428	6.240008509905692E-12
hsa-miR-940	GALNT14	0.3132465798613453	0.0
hsa-miR-940	WNT16	0.3331259637416192	3.621935216802097E-5
hsa-miR-940	SLITRK6	0.3221512673664077	0.009355904602562637
hsa-miR-940	RD3	0.3275225233144739	9.220721908231866E-8
hsa-miR-940	RASGEF1C	0.29428906225813894	1.6570689265194005E-10
hsa-miR-940	GABRG3	0.3295489984379753	0.0
hsa-miR-940	BNC2	0.30960851503313247	0.009355904602562637
hsa-miR-940	DMBX1	0.32806011429716403	0.0
hsa-miR-940	KCNAB1	0.31860582780672597	6.169504907088674E-4
hsa-miR-940	CD226	0.34022661505386975	1.915867039459229E-6
hsa-miR-4717-5p	hsa-miR-4717-3p	0.5632167041068168	0.0
hsa-miR-4717-5p	EFNB1	0.3021702532456293	3.621935216802097E-5
hsa-miR-940	LAPTM4B	0.3339844523132589	9.220721908231866E-8
hsa-miR-940	CABP2	0.32864355910731147	0.0
hsa-miR-940	GLT8D2	0.3087278659321687	3.621935216802097E-5
hsa-miR-940	LRRC4B	0.2929036724416304	6.169504907088674E-4
hsa-miR-940	TAL2	0.31083849747878106	9.220721908231866E-8
hsa-miR-940	NEUROG1	0.32097900748229724	0.0
hsa-miR-940	PAX6	0.32084092133709097	3.621935216802097E-5
hsa-miR-940	FER1L5	0.3109683426787635	3.621935216802097E-5
hsa-miR-940	SPATS2L	0.3221053630138259	0.009355904602562637
hsa-miR-940	NRCAM	0.31766289580435836	6.240008509905692E-12
hsa-miR-940	NEUROD1	0.3153683803161217	3.621935216802097E-5
hsa-miR-940	GRIK1	0.30641367238143297	0.009355904602562637
hsa-miR-940	NTN5	0.3307103488136868	0.0
hsa-miR-940	B3GLCT	0.32339693192367747	0.0
hsa-miR-940	CRABP2	0.3219525843764223	0.0
hsa-miR-940	EMX2	0.3083196123979519	3.621935216802097E-5
hsa-miR-4717-5p	ZNF804A	0.3353222317928933	0.009355904602562637
hsa-miR-940	ADGRV1	0.3587653069268169	1.6570689265194005E-10
hsa-miR-940	RPL3L	0.3074163342019272	0.009355904602562637
hsa-miR-940	PHACTR3	0.2961407352806044	0.009355904602562637
hsa-miR-940	NTRK3	0.32798572879111687	3.621935216802097E-5
hsa-miR-940	ADAMTSL1	0.3069933169591234	0.009355904602562637
hsa-miR-940	SLC26A7	0.3482943210696918	1.915867039459229E-6
hsa-miR-940	CDHR1	0.33371304813960295	0.0
hsa-miR-940	HOXD3	0.323525068298425	3.621935216802097E-5
hsa-miR-940	HOXD9	0.3095452841135784	0.009355904602562637
hsa-miR-940	HOXD8	0.323138031403769	6.169504907088674E-4
hsa-miR-940	ESYT3	0.3128716710707221	6.169504907088674E-4
hsa-miR-940	UBE2QL1	0.3170432048422091	0.009355904602562637
hsa-miR-940	CCDC33	0.309848010734122	0.0
hsa-miR-940	CCDC36	0.3090097672730351	6.169504907088674E-4
hsa-miR-940	TMEM233	0.3668381641266792	1.915867039459229E-6
hsa-miR-940	DAND5	0.3328154375903437	3.621935216802097E-5
hsa-miR-940	KIAA1549L	0.3350143451200619	6.240008509905692E-12
hsa-miR-940	ALCAM	0.32488663059078987	0.009355904602562637
hsa-miR-940	MYOG	0.33676469313080104	0.009355904602562637
hsa-miR-940	MYOT	0.3301347275647329	1.6570689265194005E-10
hsa-miR-940	DENND1B	0.3238382844366947	3.621935216802097E-5
hsa-miR-940	CACNA1S	0.32121356378862403	0.0
hsa-miR-940	CACNA2D4	0.33075534919847893	1.6570689265194005E-10
hsa-miR-940	COL2A1	0.2893296074418316	0.009355904602562637
hsa-miR-940	LTBP1	0.3275481650143904	6.240008509905692E-12
hsa-miR-940	SIPA1L2	0.3195723567665091	9.220721908231866E-8
hsa-miR-940	DAB1	0.3364596729876674	0.0
hsa-miR-940	SEMA3A	0.2997102867967185	0.009355904602562637
hsa-miR-4717-5p	MYT1L	0.35887679996497923	6.169504907088674E-4
hsa-miR-940	QPCT	0.3273935644775488	0.009355904602562637
hsa-miR-940	NOL4	0.3290081290837004	6.169504907088674E-4
hsa-miR-940	IMPG2	0.31829233563424664	1.6570689265194005E-10
hsa-miR-940	BCL11B	0.3334511839866172	0.009355904602562637
hsa-miR-940	EPHA2	0.3260590730208824	0.009355904602562637
hsa-miR-940	EPHA4	0.31475132349156354	6.169504907088674E-4
