gene	MB064	MB350	MB215	MB224	MB178	MB055	MB329	MB296	MB161	MB279	MB234	MB157	MB328	MB028	MB317	MB372	MB137	MB309	MB285	MB269	MB158	MB334	MB228	MB264	MB299	MB327	MB199	MB311	MB151	MB025	MB229	MB181	MB305	MB056	MB225	MB262	MB166	MB062	MB102	MB242	MB118	MB223	MB155	MB209	MB321	MB232	MB024	MB020	MB276	MB057	MB243	MB071	MB271	MB048	MB153	MB038	MB159	MB103	MB063	MB240	MB067	MB197	MB332	MB114	MB170	MB316	MB206	MB359	MB192	MB172	MB227	MB162	MB263	MB268	MB331	MB207	MB164	MB188	MB346	MB320	MB027	MB254	MB238	MB282	MB239	MB167	MB236	MB322	MB255	MB272	MB244	MB212
SAMD11	0	0	0	0	1.95995872247227	0	0	1.54389117673073	0	1.49693720673839	0	0.836064222988812	0	0	0.677007408110862	0	0.324906294598508	0	0	1.53354099592333	4.15848701224913	0	2.23662928775374	1.36196105597604	0	0.904510747433919	4.10283934883416	0	0.036858406487128	0.0835084048320641	0.810416610677892	0	1.87933859038612	0	0	1.26280421361343	4.43345213985903	4.2752599563426	0	7.09066785730813	1.30719574491141	1.95317781731202	5.73306366453679	3.43387324463234	4.37071558486091	3.98296033639006	5.48854747421628	6.61018890991097	0.41214372460484	2.11630719368021	0	3.66404131775188	4.54314283834069	4.20051644515319	4.52643620328573	3.46678635467251	4.47071997605111	2.22237097514437	1.04406077058309	4.60874857737603	2.64051798429391	0	0	0	2.98993542396767	0	0	0	1.68228632028461	0	0	0	0	0	0	0	3.05151175544287	0	5.54004196705513	0	1.29470344316093	2.88605668459781	0	0	0	0	0	0	0	0	0	0
MXRA8	2.12951542258338	2.51092429960235	1.55711318348564	0.914251523431631	2.54719319417912	0	0	1.10780136143674	0	2.86613634808024	0	1.46843681252028	1.93849554262238	3.27673521501258	3.85180802141064	0	0.632999302135322	1.2802281240214	0	0	2.86871114401038	1.23405804444837	3.4252012484718	0	2.2174057465417	0	0.674109754283856	0	0.282293182224922	4.49862607847564	1.40817537188673	1.50135913149603	4.20051644515319	0.473129891585484	2.33373007735509	0.732463109238318	0	0.0298776384305315	0	0.185449294970551	0	0	0	0	0	0	0.25531063757744	0.715480902901067	0	0	0	0	0.0216657135212649	3.18754241858044	0	0.704084862537697	0	0	0	0.581753023032734	0	0	0	0	0	0	3.5212778672813	0	0	3.99699239833788	1.72694623985661	0	0.202490811325816	2.11383914598008	0	0	0	0	0.0886132819807628	1.98886802333528	3.15005425681218	0	3.37657178134395	3.84011652890627	0	0	0	0.968429910108276	3.0905219441165	1.95645663525116	3.47679414218282	2.36948007648931
ANKRD65	3.5599390304944	4.17215297411591	4.2671986697856	3.50656930196584	3.01417148401841	2.92665641285363	2.60784964094256	2.68025312099534	1.61983967104048	3.62800225295155	2.89182131549549	2.42760866167669	3.44835225475061	4.2671986697856	4.06662773794515	1.48928329676333	0.433724349367734	1.29217550034451	5.32499509070829	1.7279051607962	3.47679414218282	2.62084162026849	0.19719790630239	0	2.12164657966324	2.5338063243365	6.61018890991097	1.12698316481815	0.573300300083994	1.36247874387623	0.59743541810291	2.49335829598684	2.77136706687867	2.77939931822043	2.18380671229107	2.32665690363023	0	2.30850780272507	0	6.03315860863021	0	0.851465536594952	0.702478312257575	0	0	0	0	0	2.71353581993166	0.860774850715494	0.278000691951588	0	0	0.371541700074603	0	0	0	0	0	0	0	0	0	0.987809555869695	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CFAP74	0	0.200567042092326	0.037645717342389	0	0	1.43951239669704	0.098707868803877	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0339438368393744	0	0	0	0	0	0	0	0	0	1.14267274744817	0	0	0	0	0.0394362800024438	4.81281078132029	0.596187918425729	0	0	0	0	0	5.02753361335499	5.30949610415104	2.57601096396814	3.51231989115646	3.66404131775188	1.32351592892302	3.90725711254927	0	3.94434371954597	5.73306366453679	2.34481872333227	5.43202433550074	0.0502187741701	4.03890065066512	0	0	3.95113248906455	2.85767764467326	0	2.18848783346905	0	0.0259380422243099	0	0	3.09709404783583	0	0	0	0.149235080611183	0	1.21442623104651	0	0.371672025444536	0	0	1.69651971730139	0	0.64399295136104	0	4.23919084985675	1.12864469846151	2.87739413658089	0	0	1.2657159107312	0	0	0	0
GABRD	2.07072527901598	4.31365822029003	2.45134549578229	1.18670474962539	4.10283934883416	1.60550569053056	1.5934352613634	1.39649818462545	0.801348618885263	3.49892860602483	1.93366231129455	4.63558999860097	0	4.21968815972217	0	0	2.50302457977073	0	2.94404671967808	0	0.0541604806471454	1.72260086020842	0	0	0	0	0.085645269941137	0	0	0.187161878630085	1.96415920498631	0.191490388990627	0	2.47134222056981	2.91546795387169	5.60296377173533	0.551927897867838	0	0	0	0	0	2.11757852748187	0	1.39868527252825	0	2.73069085121949	0.239170597740204	0.0611140495017678	0.747703950356012	0	0.0285122985875234	2.39616480175752	0	3.95789524138266	0	0.263194421517927	0	0	0	0	0	0	0	0	0	0	3.04827743411997	1.43777308579462	0.757052671939799	0	0.213660052983972	0	0	0	1.72005805464752	0	0	1.54954504158085	0	0	0	4.07410534536539	0.744833916466565	4.15848701224913	0	0	5.52406220285107	0	1.29167499147927	0.90255754454487	0
PLCH2	0	0.115973680645579	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0549162977942258	2.42399142299373	0	2.99272170879941	1.47294273648339	4.05369419481523	1.16066077819453	1.8438651064029	0	1.31029753708533	0.770163264027421	0	2.72549596245162	1.95317781731202	3.66404131775188	0.0964278084285294	2.50103270327147	1.63472211220019	0.72449496842748	2.84720684444814	0	3.29597981006713	3.0905219441165	0.203580197711839	0.0133979298292171	2.60784964094256	1.35407801170332	1.67476293496461	0.81839765224961	0.886147607574364	0	0	0.512526121977489	3.16736414427663	1.03361633090759	0.441280914636138	1.72176592635332	2.03819639726191	1.43057054054914	0.38352619494544	0.967762636707431	1.13842177034742	0	0	3.42218823595311	0	2.47134222056981	1.11338694668438	0	0	0	0	0	2.28034522670314	0	0	0	0	0	3.83383346330774	0	2.45918327251123	0	0	2.46321968961998	0	2.59084864290502	0	3.12385278302132	2.45134549578229	0	1.51384002546433	0	0	0.674354888377053
MEGF6	1.67299241428559	4.2752599563426	1.7635162126334	1.73296528310174	2.68978182446624	1.17526576876255	1.15079265269684	2.91546795387169	3.80983863233613	3.3073023611166	2.58002023182125	3.4006275469639	3.88124277815478	2.90100546963825	0	0.503378317051512	0	0	1.89303669589592	0	3.3002575696543	0	0	0	0	1.31205659647229	2.42042423250688	0	0	1.36810399554356	0	0.149503341398369	0	0.307628962330721	0	0	1.55098593485051	0	2.15708675023515	0	0	0.357614612506898	0	0	1.45201365115439	0.0866369378723577	0	3.65313199061988	0	0.10827445436441	1.97149322591623	0.317551518417062	2.16045439022125	1.37027092353293	0	0	0	0	0	0	0.27052631982132	0	0	0	0	0	0	2.27556554820623	3.85180802141064	0	2.2239995473962	4.40748798464164	0	0	1.68328615923384	3.29597981006713	0.354042439165305	0	1.40438783141816	0	0	0	0	0	4.92768653654526	3.57377341086886	4.19402083819637	0	0	0	0.032491076688563	0
TP73	0	0.00666253832280436	0	0	0	0	0	0	0.683027253428891	0	0	0	1.35811621235293	0.0408743486912756	0	0	0	0	0	0	2.85767764467326	0	0.371371377042477	0	0	0	0	0	0	0.572082614463956	0	0	0	0	0	0	3.22761396622961	0.745983791458937	0	0	1.81980092232155	2.66106014823668	2.47659212533155	0	2.36948007648931	0.11864827502431	0.485579777554831	0	0.631171449950872	0.583794420508557	1.77525158880931	0	1.35021239566335	1.70168582722817	3.44835225475061	1.32015014990161	0	0	0	1.88678156226056	4.01800167463352	1.29790586320109	0.78391889676595	0.613102360226605	2.62508275887894	4.31972483436995	0.576948967565708	3.62800225295155	5.15091187161653	3.62225889735132	0.512700424271532	4.69068204195606	0.712457142939246	0	0.799863343141617	3.9631732515757	2.64754316899416	0.652227122557887	2.50694223652835	0	0	0	0	0.391942058188736	4.23919084985675	1.95645663525116	3.23146940648953	0	0	0	1.46232792364048	0.374014476969008
AJAP1	0	0	0	0	0	5.78267089188954	1.20575236405765	0	3.25846200360071	0.673212094638571	0.401445316826389	0	0	0	4.29860274417467	0	6.03315860863021	0	5.60296377173533	6.57213409181758	0	0	0	1.88457406874727	2.44423417384533	0	0	0	0.935918140362915	0	2.93864087689659	0	4.29860274417467	0	1.32575144172919	0	0	0	0	0	0	1.01419790308128	0	0	0	0	3.65758056858337	1.93152852125299	0	3.19458576832926	0	0	2.65472651615417	0	1.25094931965221	1.91029382325148	0.581211917216246	1.77215331772767	0	1.22556486783724	0	0	0	0	1.52129461790827	1.84812839607363	0	0	0	0	5.29345761849112	0	0	0.657761705170405	1.7279051607962	0	0	0	0	0	0	0.998401795795251	0	3.90725711254927	1.27653864892662	0	6.03315860863021	1.28822245678985	1.33529795710384	2.08185496218313	1.00172830151241	2.08978332771988
CHD5	0	0	0	0	0	2.33036371283159	0	0	3.32053227671234	1.57276726757083	0	0.772206325694902	0	0	0	0	1.33361944104792	2.70307867095644	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.26883062266669	0	0	0	1.54893318647512	0	0.469271530991078	0	0	4.60099978024157	0	0	1.3776360417337	1.63382202468442	0	0	1.9934888026519	0	0	1.32015014990161	3.25456761299563	0	2.22097216506942	0	2.63378867514372	0	1.56271978749074	0	0	2.31838424211537	1.29937698160506	0	5.20723451494912	6.77301430269184	5.55844641373756	4.01027055437763	6.03315860863021	2.80568045950372	5.55844641373756	4.77982299540261	0.221931192015853	3.64816394884543	1.70643387518518	6.19687537972115	0	5.55844641373756	0.0525698114331371	4.98762368749971	0	2.89182131549549	2.1712575997948	3.63900038910413	2.15440857668742	1.93494491978342	5.41289302893441	3.15311514504407	5.34407739411487	5.64803475626187	5.43202433550074	0.374898544637662
