Regulator	Target	MI	pvalue
hsa-miR-7-2-3p	hsa-miR-1179	0.3417222739774189	2.9929909933779086E-6
hsa-miR-7-2-3p	RIPOR2	0.34916425646394583	3.139227766624231E-10
hsa-miR-7-5p	MEIS2	0.31138393069094866	0.01207441786995389
hsa-miR-3529-5p	CAMKV	0.3320173673805291	7.2255246230668035E-9
hsa-miR-7-2-3p	hsa-miR-3529-5p	0.514964816008295	0.0
hsa-miR-7-2-3p	FREM2	0.31933625798220966	8.484782110379507E-4
hsa-miR-7-2-3p	FHDC1	0.33220856345134303	3.139227766624231E-10
hsa-miR-7-2-3p	RND1	0.33145361851551286	8.484782110379507E-4
hsa-miR-3529-5p	MEPE	0.30745906299400394	0.01207441786995389
hsa-miR-3529-5p	hsa-miR-1179	0.32808018303086817	0.01207441786995389
hsa-miR-3529-5p	NOVA2	0.30778849472274933	7.2255246230668035E-9
hsa-miR-7-5p	SLC44A5	0.3344799506336562	0.01207441786995389
hsa-miR-7-2-3p	NOVA2	0.33131908648028013	0.01207441786995389
hsa-miR-7-2-3p	CAMKV	0.31134530138011574	0.01207441786995389
hsa-miR-3529-5p	VASH2	0.3213362414209902	0.01207441786995389
hsa-miR-3529-5p	DYNC1I1	0.3241305365067134	5.3087057289569195E-5
hsa-miR-3529-5p	RIPOR2	0.3538135313667412	1.5354063132022588E-7
hsa-miR-7-2-3p	LHX5	0.31367730331370125	5.3087057289569195E-5
hsa-miR-3529-5p	LONRF2	0.31745425379571124	5.3087057289569195E-5
hsa-miR-3529-5p	NTN4	0.3419470289331956	8.484782110379507E-4
hsa-miR-7-2-3p	SNCA	0.3248999104426735	8.484782110379507E-4
hsa-miR-7-2-3p	NRXN2	0.2934954980239682	0.01207441786995389
hsa-miR-7-5p	hsa-miR-3529-3p	0.4288520765580417	0.0
hsa-miR-7-2-3p	SYNJ2	0.3293927954287567	8.484782110379507E-4
hsa-miR-3529-5p	SNCA	0.321046554026857	2.9929909933779086E-6
hsa-miR-7-2-3p	CLEC2L	0.3304309511373952	5.3087057289569195E-5
hsa-miR-7-2-3p	FAM131B	0.3327062877439917	0.01207441786995389
hsa-miR-3529-5p	SPOCK2	0.33513962329050634	0.01207441786995389
hsa-miR-3529-5p	APBA1	0.31624754507080005	0.01207441786995389
hsa-miR-7-2-3p	PAK3	0.281136656533498	0.01207441786995389
hsa-miR-3529-5p	KCNK2	0.31494018125363077	8.484782110379507E-4
hsa-miR-7-2-3p	CHD5	0.31191013927322064	2.9929909933779086E-6
hsa-miR-3529-5p	LIMCH1	0.2978911897241659	0.01207441786995389
hsa-miR-3529-3p	hsa-miR-7-5p	0.429800329515238	0.0
hsa-miR-7-5p	SHISAL1	0.33762793712485323	7.2255246230668035E-9
hsa-miR-3529-5p	GRM7	0.3175356243526064	0.01207441786995389
hsa-miR-1179	hsa-miR-7-2-3p	0.3167871564823403	1.5354063132022588E-7
hsa-miR-7-2-3p	MAPT	0.3249739328345653	2.9929909933779086E-6
hsa-miR-1179	hsa-miR-3529-5p	0.316872521589589	7.2255246230668035E-9
hsa-miR-7-2-3p	DIRAS3	0.29349678888868896	0.01207441786995389
hsa-miR-3529-5p	FAM131B	0.2877811611574622	8.484782110379507E-4
hsa-miR-3529-5p	NNAT	0.3322173910452026	0.01207441786995389
hsa-miR-3529-5p	CELF5	0.3439389011106481	7.2255246230668035E-9
hsa-miR-3529-3p	SLITRK5	0.30193452230562456	2.9929909933779086E-6
hsa-miR-7-2-3p	LONRF2	0.3119767194053514	3.139227766624231E-10
hsa-miR-7-5p	SLC8A1	0.3095320020946037	0.01207441786995389
hsa-miR-7-2-3p	COL2A1	0.3006934616656219	0.01207441786995389
hsa-miR-7-2-3p	PDE1B	0.33096956195309285	1.5354063132022588E-7
hsa-miR-7-2-3p	DPP6	0.31769771756570425	1.5354063132022588E-7
hsa-miR-3529-5p	RNF152	0.3098056690790432	8.484782110379507E-4
hsa-miR-3529-5p	YPEL4	0.3288715390990471	0.01207441786995389
hsa-miR-7-2-3p	NNAT	0.30601868168205504	7.2255246230668035E-9
hsa-miR-7-5p	ZIC3	0.31104243221472494	0.01207441786995389
hsa-miR-3529-5p	SH3GL3	0.35666261056914966	0.01207441786995389
hsa-miR-3529-5p	MAPT	0.3211197981260139	5.3087057289569195E-5
hsa-miR-7-2-3p	CELF5	0.31875073282331023	5.3087057289569195E-5
hsa-miR-3529-5p	hsa-miR-7-2-3p	0.5224830474473721	0.0
hsa-miR-3529-5p	DPP6	0.28783518617666737	2.9929909933779086E-6
hsa-miR-1179	CHD5	0.2972376100108682	8.484782110379507E-4
