"cluster"	"Expression_class"	"miRNAcluster_sign"	"signature"	"minimal_number_DB"	"Cluster_members"	"miRNA_targets"
"cl2_chr1"	"1"	"up"	"up"	"2"	"hsa-miR-200b-5p/hsa-miR-200b-3p/hsa-miR-200a-5p/hsa-miR-200a-3p/hsa-miR-429"	"hsa-miR-429:ABCA1/hsa-miR-429:ACHE/hsa-miR-429:AFF3/hsa-miR-429:AKAP5/hsa-miR-429:ALCAM/hsa-miR-429:ANKRD12/hsa-miR-429:ANKS1B/hsa-miR-429:APP/hsa-miR-429:ARL1/hsa-miR-429:ASB13/hsa-miR-429:AXIN2/hsa-miR-429:B3GNT2/hsa-miR-429:BAG5/hsa-miR-429:BBS2/hsa-miR-429:BLCAP/hsa-miR-429:CACHD1/hsa-miR-429:CAP2/hsa-miR-429:CCDC3/hsa-miR-429:CDC42EP3/hsa-miR-429:CDK17/hsa-miR-429:CEP68/hsa-miR-429:CHN2/hsa-miR-429:CLIP1/hsa-miR-429:COL13A1/hsa-miR-429:CYLD/hsa-miR-429:DAPK1/hsa-miR-429:DLC1/hsa-miR-429:DMRT2/hsa-miR-429:DNAJC5/hsa-miR-429:DNMT3A/hsa-miR-429:DOK5/hsa-miR-429:DYNC1I1/hsa-miR-429:ELK3/hsa-miR-429:ELMOD1/hsa-miR-429:EPHA3/hsa-miR-429:EPHA4/hsa-miR-429:FGD4/hsa-miR-429:FGFR2/hsa-miR-429:FIGNL2/hsa-miR-429:FREM2/hsa-miR-429:FRMPD1/hsa-miR-429:FUBP3/hsa-miR-429:FZD6/hsa-miR-429:GABARAPL1/hsa-miR-429:GABBR2/hsa-miR-429:GIT2/hsa-miR-429:GLS2/hsa-miR-429:GOLGA1/hsa-miR-429:GPATCH8/hsa-miR-429:GPR62/hsa-miR-429:GSN/hsa-miR-429:HFE/hsa-miR-429:HIPK1/hsa-miR-429:HMGCLL1/hsa-miR-429:HOOK1/hsa-miR-429:ITGA9/hsa-miR-429:JAG2/hsa-miR-429:KCNA1/hsa-miR-429:KCTD2/hsa-miR-429:KRT80/hsa-miR-429:LIN7C/hsa-miR-429:LPIN1/hsa-miR-429:LRP4/hsa-miR-429:MAF/hsa-miR-429:MFHAS1/hsa-miR-429:MID1/hsa-miR-429:MMD2/hsa-miR-429:MTMR11/hsa-miR-429:MYO10/hsa-miR-429:NIN/hsa-miR-429:NKD1/hsa-miR-429:NMT2/hsa-miR-429:NPNT/hsa-miR-429:ONECUT2/hsa-miR-429:PAM/hsa-miR-429:PAPSS1/hsa-miR-429:PDE11A/hsa-miR-429:PDE4B/hsa-miR-429:PFN2/hsa-miR-429:PKD2/hsa-miR-429:PLXNA2/hsa-miR-429:PMP22/hsa-miR-429:POU6F1/hsa-miR-429:PPP1R16B/hsa-miR-429:PREPL/hsa-miR-429:PTPRK/hsa-miR-429:PTPRZ1/hsa-miR-429:RAB11FIP1/hsa-miR-429:RAB11FIP2/hsa-miR-429:RAB14/hsa-miR-429:RAB39B/hsa-miR-429:RASSF8/hsa-miR-429:RBBP9/hsa-miR-429:REEP5/hsa-miR-429:RGL1/hsa-miR-429:ROCK2/hsa-miR-429:RPS6KA2/hsa-miR-429:SCARA3/hsa-miR-429:SCN8A/hsa-miR-429:SCOC/hsa-miR-429:SEC24A/hsa-miR-429:SECISBP2L/hsa-miR-429:SERINC1/hsa-miR-429:SGCB/hsa-miR-429:SGIP1/hsa-miR-429:SH3PXD2A/hsa-miR-429:SIRPA/hsa-miR-429:SLC16A14/hsa-miR-429:SLC24A4/hsa-miR-429:SLC26A7/hsa-miR-429:SLC36A1/hsa-miR-429:SLC39A8/hsa-miR-429:SLC41A1/hsa-miR-429:SLC4A10/hsa-miR-429:SLC6A6/hsa-miR-429:SLC8A3/hsa-miR-429:SORCS3/hsa-miR-429:SP1/hsa-miR-429:SPRED1/hsa-miR-429:SRGAP3/hsa-miR-429:STOX2/hsa-miR-429:TFAP2A/hsa-miR-429:TNFRSF19/hsa-miR-429:TRIL/hsa-miR-429:TSC22D2/hsa-miR-429:UGCG/hsa-miR-429:USH1G/hsa-miR-429:USH2A/hsa-miR-429:USP46/hsa-miR-429:VAMP4/hsa-miR-429:WIF1/hsa-miR-429:WIPF3/hsa-miR-429:ZBTB34/hsa-miR-429:ZFHX4/hsa-miR-429:ZNF365"
"cl2_chr1"	"1"	"up"	"up"	"3"	"hsa-miR-200b-5p/hsa-miR-200b-3p/hsa-miR-200a-5p/hsa-miR-200a-3p/hsa-miR-429"	"hsa-miR-429:AFF3/hsa-miR-429:BAG5/hsa-miR-429:BLCAP/hsa-miR-429:CACHD1/hsa-miR-429:CDC42EP3/hsa-miR-429:CHN2/hsa-miR-429:DLC1/hsa-miR-429:DNAJC5/hsa-miR-429:DNMT3A/hsa-miR-429:ELMOD1/hsa-miR-429:FUBP3/hsa-miR-429:GABBR2/hsa-miR-429:GIT2/hsa-miR-429:GOLGA1/hsa-miR-429:HIPK1/hsa-miR-429:HOOK1/hsa-miR-429:KRT80/hsa-miR-429:LPIN1/hsa-miR-429:LRP4/hsa-miR-429:MFHAS1/hsa-miR-429:MMD2/hsa-miR-429:NIN/hsa-miR-429:NKD1/hsa-miR-429:PAM/hsa-miR-429:PLXNA2/hsa-miR-429:RAB11FIP2/hsa-miR-429:RGL1/hsa-miR-429:ROCK2/hsa-miR-429:RPS6KA2/hsa-miR-429:SCOC/hsa-miR-429:SEC24A/hsa-miR-429:SERINC1/hsa-miR-429:SGIP1/hsa-miR-429:SLC24A4/hsa-miR-429:TFAP2A/hsa-miR-429:TSC22D2/hsa-miR-429:UGCG/hsa-miR-429:USH1G/hsa-miR-429:USH2A/hsa-miR-429:USP46/hsa-miR-429:ZFHX4"
"cl2_chr1"	"1"	"up"	"down"	"2"	"hsa-miR-200b-5p/hsa-miR-200b-3p/hsa-miR-200a-5p/hsa-miR-200a-3p/hsa-miR-429"	"hsa-miR-429:ABHD3/hsa-miR-429:ACTN1/hsa-miR-429:ADCY7/hsa-miR-429:ADCYAP1/hsa-miR-429:ALDH1A3/hsa-miR-429:ANK3/hsa-miR-429:ARHGAP19/hsa-miR-429:ARHGEF7/hsa-miR-429:ASCC3/hsa-miR-429:ASPN/hsa-miR-429:BAZ1A/hsa-miR-429:BCHE/hsa-miR-429:BCL2/hsa-miR-429:BTBD3/hsa-miR-429:CCDC28A/hsa-miR-429:CECR2/hsa-miR-429:COL11A1/hsa-miR-429:CRIM1/hsa-miR-429:CTSC/hsa-miR-429:CXCL12/hsa-miR-429:CYBRD1/hsa-miR-429:CYTH1/hsa-miR-429:CYYR1/hsa-miR-429:DCDC2/hsa-miR-429:DEK/hsa-miR-429:DHX9/hsa-miR-429:DMRTA1/hsa-miR-429:DPY19L3/hsa-miR-429:DTX3L/hsa-miR-429:EHD1/hsa-miR-429:EIF4B/hsa-miR-429:ENSA/hsa-miR-429:FAM76B/hsa-miR-429:FDFT1/hsa-miR-429:FEZ2/hsa-miR-429:FIGN/hsa-miR-429:FKBP9/hsa-miR-429:FLRT2/hsa-miR-429:FSTL1/hsa-miR-429:GAB1/hsa-miR-429:GABRB3/hsa-miR-429:GOPC/hsa-miR-429:GPC6/hsa-miR-429:GPR180/hsa-miR-429:GRIA4/hsa-miR-429:HNRNPU/hsa-miR-429:INSM2/hsa-miR-429:INTS7/hsa-miR-429:IRAK3/hsa-miR-429:KANK2/hsa-miR-429:KIF21A/hsa-miR-429:KLF12/hsa-miR-429:KLF13/hsa-miR-429:LAMC1/hsa-miR-429:LIMS1/hsa-miR-429:LNX2/hsa-miR-429:LPP/hsa-miR-429:LYRM2/hsa-miR-429:MAN1A2/hsa-miR-429:MAP4K4/hsa-miR-429:MARK1/hsa-miR-429:MTAP/hsa-miR-429:NBR1/hsa-miR-429:NCAM1/hsa-miR-429:NFIB/hsa-miR-429:NFYA/hsa-miR-429:NLK/hsa-miR-429:NOL4/hsa-miR-429:NPR3/hsa-miR-429:NPY1R/hsa-miR-429:NUP153/hsa-miR-429:OGN/hsa-miR-429:OSR1/hsa-miR-429:PBX3/hsa-miR-429:PDE5A/hsa-miR-429:PHF21A/hsa-miR-429:PI4KB/hsa-miR-429:PLCL1/hsa-miR-429:PMAIP1/hsa-miR-429:PPFIBP1/hsa-miR-429:PPHLN1/hsa-miR-429:PPP1R12B/hsa-miR-429:PPP2R2C/hsa-miR-429:PRDM13/hsa-miR-429:PRKD3/hsa-miR-429:PSTPIP2/hsa-miR-429:PTCH1/hsa-miR-429:PTGER2/hsa-miR-429:RFX7/hsa-miR-429:RHOA/hsa-miR-429:RNF111/hsa-miR-429:RSU1/hsa-miR-429:SDC2/hsa-miR-429:SERPINH1/hsa-miR-429:SFRP4/hsa-miR-429:SHPRH/hsa-miR-429:SLC14A1/hsa-miR-429:SLC26A4/hsa-miR-429:SLC6A15/hsa-miR-429:SLITRK1/hsa-miR-429:SNRPE/hsa-miR-429:SOX2/hsa-miR-429:SRGAP1/hsa-miR-429:STAC/hsa-miR-429:SYDE2/hsa-miR-429:TBC1D22B/hsa-miR-429:TBX18/hsa-miR-429:TCF12/hsa-miR-429:TEX15/hsa-miR-429:TEX9/hsa-miR-429:TLN1/hsa-miR-429:TM7SF3/hsa-miR-429:UHRF1BP1/hsa-miR-429:VPS13A/hsa-miR-429:WDFY2/hsa-miR-429:WDR72/hsa-miR-429:YTHDF2/hsa-miR-429:ZBTB24/hsa-miR-429:ZC3H12C/hsa-miR-429:ZEB1/hsa-miR-429:ZNF292"
"cl2_chr1"	"1"	"up"	"down"	"3"	"hsa-miR-200b-5p/hsa-miR-200b-3p/hsa-miR-200a-5p/hsa-miR-200a-3p/hsa-miR-429"	"hsa-miR-429:ANK3/hsa-miR-429:ARHGAP19/hsa-miR-429:CECR2/hsa-miR-429:DCDC2/hsa-miR-429:DHX9/hsa-miR-429:FAM76B/hsa-miR-429:FEZ2/hsa-miR-429:FIGN/hsa-miR-429:FSTL1/hsa-miR-429:GAB1/hsa-miR-429:LAMC1/hsa-miR-429:MAP4K4/hsa-miR-429:NBR1/hsa-miR-429:NCAM1/hsa-miR-429:NFIB/hsa-miR-429:NFYA/hsa-miR-429:NUP153/hsa-miR-429:PBX3/hsa-miR-429:PDE5A/hsa-miR-429:PLCL1/hsa-miR-429:PMAIP1/hsa-miR-429:PPP2R2C/hsa-miR-429:PTCH1/hsa-miR-429:PTGER2/hsa-miR-429:RHOA/hsa-miR-429:SDC2/hsa-miR-429:SLC14A1/hsa-miR-429:SLITRK1/hsa-miR-429:SOX2/hsa-miR-429:SRGAP1/hsa-miR-429:TBC1D22B/hsa-miR-429:TLN1/hsa-miR-429:ZEB1/hsa-miR-429:ZNF292"
"cl2_chr1"	"4"	"down"	"up"	"2"	"hsa-miR-200b-5p/hsa-miR-200b-3p/hsa-miR-200a-5p/hsa-miR-200a-3p/hsa-miR-429"	"hsa-miR-429:AHRR/hsa-miR-429:ALS2/hsa-miR-429:ANKRD6/hsa-miR-429:ATXN1/hsa-miR-429:C18orf54/hsa-miR-429:CD58/hsa-miR-429:CHSY1/hsa-miR-429:DOCK10/hsa-miR-429:EPB41L4B/hsa-miR-429:FAM126B/hsa-miR-429:GLDC/hsa-miR-429:LCA5/hsa-miR-429:MAP1LC3B/hsa-miR-429:METTL7A/hsa-miR-429:PDGFRA/hsa-miR-429:PELI2/hsa-miR-429:PLCB4/hsa-miR-429:PRKACB/hsa-miR-429:SATB2/hsa-miR-429:SLC2A10/hsa-miR-429:TMEM229B/hsa-miR-429:USP43/hsa-miR-429:YAP1/hsa-miR-429:ZNF521"
"cl51_chr1"	"1"	"down"	"up"	"2"	"hsa-miR-137/hsa-miR-2682-5p/hsa-miR-2682-3p"	"hsa-miR-137:AACS/hsa-miR-137:ABCD2/hsa-miR-137:ACSL6/hsa-miR-137:ADAMTSL1/hsa-miR-137:AFF3/hsa-miR-137:ALPP/hsa-miR-137:ANKRD12/hsa-miR-137:ANKS1B/hsa-miR-137:ARHGAP31/hsa-miR-137:ATOH8/hsa-miR-137:ATP6V0A1/hsa-miR-137:ATPAF1/hsa-miR-137:B4GALT4/hsa-miR-137:BAG5/hsa-miR-137:BLCAP/hsa-miR-137:CADPS/hsa-miR-137:CAPN2/hsa-miR-137:CEND1/hsa-miR-137:CHST1/hsa-miR-137:CLDN11/hsa-miR-137:CLUAP1/hsa-miR-137:DKK2/hsa-miR-137:DLC1/hsa-miR-137:DMRT2/hsa-miR-137:DNMT3A/hsa-miR-137:DOK5/hsa-miR-137:DSC2/hsa-miR-137:DSCAML1/hsa-miR-137:DSE/hsa-miR-137:DSP/hsa-miR-137:DUSP5/hsa-miR-137:ELAVL3/hsa-miR-137:ELFN2/hsa-miR-137:ELOVL2/hsa-miR-137:EMX2/hsa-miR-137:EPHA4/hsa-miR-137:EPHA7/hsa-miR-137:FGD4/hsa-miR-137:FGF9/hsa-miR-137:FOXN3/hsa-miR-137:FREM2/hsa-miR-137:FUBP3/hsa-miR-137:FXYD6/hsa-miR-137:GABBR2/hsa-miR-137:GIT2/hsa-miR-137:GLCE/hsa-miR-137:GPATCH8/hsa-miR-137:GRM7/hsa-miR-137:HAPLN2/hsa-miR-137:HCN2/hsa-miR-137:HECW1/hsa-miR-137:HMGCLL1/hsa-miR-137:HOMER1/hsa-miR-137:ICMT/hsa-miR-137:ITGA9/hsa-miR-137:JPH1/hsa-miR-137:KAT2B/hsa-miR-137:KCNA1/hsa-miR-137:KCNC1/hsa-miR-137:KCNJ6/hsa-miR-137:LBH/hsa-miR-137:LGI2/hsa-miR-137:LRP4/hsa-miR-137:LRP8/hsa-miR-137:MAF/hsa-miR-137:MED27/hsa-miR-137:MID2/hsa-miR-137:MPP1/hsa-miR-137:MTMR7/hsa-miR-137:NCKAP5/hsa-miR-137:NECAP1/hsa-miR-137:NEUROD2/hsa-miR-137:NFYB/hsa-miR-137:NIN/hsa-miR-137:NMNAT2/hsa-miR-137:NMT2/hsa-miR-137:NRG2/hsa-miR-137:NSF/hsa-miR-137:NUDT10/hsa-miR-137:OSBP2/hsa-miR-137:OSBPL3/hsa-miR-137:PANX2/hsa-miR-137:PCDHB7/hsa-miR-137:PCYT1B/hsa-miR-137:PDE1B/hsa-miR-137:PFN2/hsa-miR-137:PITPNM2/hsa-miR-137:PLCB1/hsa-miR-137:PLEKHF2/hsa-miR-137:PLXNA2/hsa-miR-137:PPFIBP2/hsa-miR-137:PPP1R16B/hsa-miR-137:PPP6C/hsa-miR-137:PRRT4/hsa-miR-137:PTPRO/hsa-miR-137:PURA/hsa-miR-137:RASIP1/hsa-miR-137:RASSF8/hsa-miR-137:REV3L/hsa-miR-137:RSBN1/hsa-miR-137:RTTN/hsa-miR-137:SAR1B/hsa-miR-137:SEC24A/hsa-miR-137:SECISBP2L/hsa-miR-137:SEMA3B/hsa-miR-137:SHISA9/hsa-miR-137:SLC24A4/hsa-miR-137:SLC26A7/hsa-miR-137:SLC41A1/hsa-miR-137:SLC4A10/hsa-miR-137:SLC6A6/hsa-miR-137:SORCS3/hsa-miR-137:SP1/hsa-miR-137:SPOCK2/hsa-miR-137:SPRED1/hsa-miR-137:SRC/hsa-miR-137:SRGAP3/hsa-miR-137:ST6GAL2/hsa-miR-137:SV2A/hsa-miR-137:SYT7/hsa-miR-137:TAX1BP1/hsa-miR-137:TFAP2A/hsa-miR-137:TGFA/hsa-miR-137:TMEM132B/hsa-miR-137:TMPRSS13/hsa-miR-137:TMTC4/hsa-miR-137:TSC22D2/hsa-miR-137:USH2A/hsa-miR-137:USP46/hsa-miR-137:VIM/hsa-miR-137:WIF1/hsa-miR-137:ZBTB34/hsa-miR-137:ZNF365/hsa-miR-137:ZNF385D/hsa-miR-137:ZNRF3"
"cl51_chr1"	"1"	"down"	"up"	"3"	"hsa-miR-137/hsa-miR-2682-5p/hsa-miR-2682-3p"	"hsa-miR-137:ACSL6/hsa-miR-137:ANKRD12/hsa-miR-137:ATOH8/hsa-miR-137:ATPAF1/hsa-miR-137:CADPS/hsa-miR-137:CAPN2/hsa-miR-137:CEND1/hsa-miR-137:CLDN11/hsa-miR-137:DMRT2/hsa-miR-137:DUSP5/hsa-miR-137:ELFN2/hsa-miR-137:ELOVL2/hsa-miR-137:EPHA4/hsa-miR-137:EPHA7/hsa-miR-137:FGD4/hsa-miR-137:FOXN3/hsa-miR-137:FXYD6/hsa-miR-137:GABBR2/hsa-miR-137:GIT2/hsa-miR-137:GLCE/hsa-miR-137:GPATCH8/hsa-miR-137:GRM7/hsa-miR-137:HAPLN2/hsa-miR-137:HMGCLL1/hsa-miR-137:ICMT/hsa-miR-137:ITGA9/hsa-miR-137:KAT2B/hsa-miR-137:KCNA1/hsa-miR-137:LBH/hsa-miR-137:MAF/hsa-miR-137:MPP1/hsa-miR-137:NCKAP5/hsa-miR-137:NECAP1/hsa-miR-137:NEUROD2/hsa-miR-137:NFYB/hsa-miR-137:NSF/hsa-miR-137:OSBP2/hsa-miR-137:OSBPL3/hsa-miR-137:PANX2/hsa-miR-137:PDE1B/hsa-miR-137:PITPNM2/hsa-miR-137:PLCB1/hsa-miR-137:PLXNA2/hsa-miR-137:PPP1R16B/hsa-miR-137:PRRT4/hsa-miR-137:PTPRO/hsa-miR-137:PURA/hsa-miR-137:RASIP1/hsa-miR-137:RASSF8/hsa-miR-137:RSBN1/hsa-miR-137:SAR1B/hsa-miR-137:SEMA3B/hsa-miR-137:SHISA9/hsa-miR-137:SP1/hsa-miR-137:SRC/hsa-miR-137:SRGAP3/hsa-miR-137:SV2A/hsa-miR-137:TFAP2A/hsa-miR-137:TGFA/hsa-miR-137:TMEM132B/hsa-miR-137:TMTC4/hsa-miR-137:TSC22D2/hsa-miR-137:USP46/hsa-miR-137:WIF1/hsa-miR-137:ZBTB34/hsa-miR-137:ZNF385D"
"cl51_chr1"	"1"	"down"	"up"	"4"	"hsa-miR-137/hsa-miR-2682-5p/hsa-miR-2682-3p"	"hsa-miR-137:ACSL6/hsa-miR-137:ANKRD12/hsa-miR-137:ATPAF1/hsa-miR-137:CADPS/hsa-miR-137:CLDN11/hsa-miR-137:DMRT2/hsa-miR-137:DUSP5/hsa-miR-137:ELOVL2/hsa-miR-137:EPHA7/hsa-miR-137:FXYD6/hsa-miR-137:GLCE/hsa-miR-137:HMGCLL1/hsa-miR-137:KCNA1/hsa-miR-137:MAF/hsa-miR-137:MPP1/hsa-miR-137:NECAP1/hsa-miR-137:NEUROD2/hsa-miR-137:NSF/hsa-miR-137:OSBP2/hsa-miR-137:PLCB1/hsa-miR-137:PLXNA2/hsa-miR-137:RSBN1/hsa-miR-137:SAR1B/hsa-miR-137:SV2A/hsa-miR-137:TFAP2A/hsa-miR-137:TMEM132B/hsa-miR-137:TSC22D2/hsa-miR-137:WIF1/hsa-miR-137:ZBTB34"
"cl51_chr1"	"1"	"down"	"down"	"2"	"hsa-miR-137/hsa-miR-2682-5p/hsa-miR-2682-3p"	"hsa-miR-137:ABCC6/hsa-miR-137:ADK/hsa-miR-137:ALDH1A2/hsa-miR-137:ANK3/hsa-miR-137:ARHGAP11A/hsa-miR-137:ARHGEF7/hsa-miR-137:ASCC3/hsa-miR-137:BAZ1A/hsa-miR-137:BBX/hsa-miR-137:BCL2/hsa-miR-137:BCLAF1/hsa-miR-137:C7orf31/hsa-miR-137:CASP7/hsa-miR-137:CBFA2T2/hsa-miR-137:CCDC89/hsa-miR-137:CDADC1/hsa-miR-137:COL10A1/hsa-miR-137:COL11A1/hsa-miR-137:COL4A5/hsa-miR-137:CORIN/hsa-miR-137:CPLX1/hsa-miR-137:CRIM1/hsa-miR-137:CTSC/hsa-miR-137:CXCL12/hsa-miR-137:CYB5R4/hsa-miR-137:CYYR1/hsa-miR-137:DACH2/hsa-miR-137:DCDC2/hsa-miR-137:DCP1A/hsa-miR-137:DGKI/hsa-miR-137:DMRTA1/hsa-miR-137:DOCK5/hsa-miR-137:DPY19L3/hsa-miR-137:EHD1/hsa-miR-137:EIF4B/hsa-miR-137:EML1/hsa-miR-137:ENC1/hsa-miR-137:ETV6/hsa-miR-137:FAM76B/hsa-miR-137:FANCF/hsa-miR-137:FHL2/hsa-miR-137:FLRT2/hsa-miR-137:FSTL1/hsa-miR-137:GABRB3/hsa-miR-137:GPR180/hsa-miR-137:GRIA4/hsa-miR-137:GUCA1B/hsa-miR-137:HDAC2/hsa-miR-137:HHIP/hsa-miR-137:HNRNPU/hsa-miR-137:IGFBP5/hsa-miR-137:IGLON5/hsa-miR-137:IMPA2/hsa-miR-137:ITPR3/hsa-miR-137:KLF12/hsa-miR-137:L3MBTL4/hsa-miR-137:LEMD2/hsa-miR-137:MAGI3/hsa-miR-137:MAP3K7/hsa-miR-137:MAP7/hsa-miR-137:MARK1/hsa-miR-137:MDM4/hsa-miR-137:MXD1/hsa-miR-137:NAALAD2/hsa-miR-137:NCAM1/hsa-miR-137:NEB/hsa-miR-137:NEK4/hsa-miR-137:NFIB/hsa-miR-137:NID1/hsa-miR-137:NIPA1/hsa-miR-137:NLK/hsa-miR-137:NRG3/hsa-miR-137:P2RY14/hsa-miR-137:PABPC4L/hsa-miR-137:PARP4/hsa-miR-137:PAWR/hsa-miR-137:PBX3/hsa-miR-137:PDLIM3/hsa-miR-137:PHF20/hsa-miR-137:PHF3/hsa-miR-137:PHIP/hsa-miR-137:PPFIBP1/hsa-miR-137:PPHLN1/hsa-miR-137:PPP1R15B/hsa-miR-137:PRDM13/hsa-miR-137:PRKD3/hsa-miR-137:RBMS3/hsa-miR-137:SENP6/hsa-miR-137:SLC1A5/hsa-miR-137:SLC45A3/hsa-miR-137:SLC6A15/hsa-miR-137:SLCO4C1/hsa-miR-137:SMARCA5/hsa-miR-137:SNRPE/hsa-miR-137:SRPK1/hsa-miR-137:SSX2IP/hsa-miR-137:STAC/hsa-miR-137:STK38/hsa-miR-137:TBX18/hsa-miR-137:TCF12/hsa-miR-137:TEX15/hsa-miR-137:UHRF1BP1/hsa-miR-137:VPS13A/hsa-miR-137:WASF2/hsa-miR-137:WDR72/hsa-miR-137:ZC3H12C/hsa-miR-137:ZNF609/hsa-miR-137:ZNF804A"
"cl51_chr1"	"1"	"down"	"down"	"3"	"hsa-miR-137/hsa-miR-2682-5p/hsa-miR-2682-3p"	"hsa-miR-137:ALDH1A2/hsa-miR-137:ARHGEF7/hsa-miR-137:BAZ1A/hsa-miR-137:BBX/hsa-miR-137:CXCL12/hsa-miR-137:CYB5R4/hsa-miR-137:CYYR1/hsa-miR-137:DCDC2/hsa-miR-137:DCP1A/hsa-miR-137:FAM76B/hsa-miR-137:FLRT2/hsa-miR-137:FSTL1/hsa-miR-137:GRIA4/hsa-miR-137:HNRNPU/hsa-miR-137:IGFBP5/hsa-miR-137:IMPA2/hsa-miR-137:KLF12/hsa-miR-137:L3MBTL4/hsa-miR-137:LEMD2/hsa-miR-137:MARK1/hsa-miR-137:MXD1/hsa-miR-137:NFIB/hsa-miR-137:NRG3/hsa-miR-137:PDLIM3/hsa-miR-137:PHF20/hsa-miR-137:PHF3/hsa-miR-137:PRKD3/hsa-miR-137:RBMS3/hsa-miR-137:SLC1A5/hsa-miR-137:SLC45A3/hsa-miR-137:SLC6A15/hsa-miR-137:SMARCA5/hsa-miR-137:SRPK1/hsa-miR-137:SSX2IP/hsa-miR-137:STAC/hsa-miR-137:STK38/hsa-miR-137:TBX18/hsa-miR-137:TCF12/hsa-miR-137:ZC3H12C"
