"miRNA_cluster"	"subype/class"	"sign(up/down)"	"members"	"found"	"pval"	"fold_change"
"cl2_chr1"	"1"	"up"	"MI0000342/MI0000737/MI0001641"	"hsa-miR-200b-3p/hsa-miR-200a-3p/hsa-miR-429/hsa-miR-200a-5p/hsa-miR-200b-5p"	"0.001/0.002/0/0.238/0.027"	"0.760918760945237/0.789510061396186/0.765462390061266/0.188297594207238/0.202576192357375"
"cl2_chr1"	"4"	"down"	"MI0000342/MI0000737/MI0001641"	"hsa-miR-200b-3p/hsa-miR-200a-3p/hsa-miR-429/hsa-miR-200a-5p/hsa-miR-200b-5p"	"0/0.001/0.001/0/0.003"	"-0.898689156800826/-0.642560312853055/-0.563043568119624/-0.180301061121121/-0.284853424949436"
"cl34_chr1"	"1"	"down"	"MI0000749/MI0000736"	"hsa-miR-30c-5p/hsa-miR-30e-3p/hsa-miR-30e-5p/hsa-miR-30c-1-3p"	"0.394/0.012/0.042/0.258"	"-0.221556396013183/-0.326129754947921/-0.170610467995038/-0.153269213091597"
"cl34_chr1"	"4"	"up"	"MI0000749/MI0000736"	"hsa-miR-30c-5p/hsa-miR-30e-3p/hsa-miR-30e-5p/hsa-miR-30c-1-3p"	"0.016/0/0.065/0.022"	"0.167743664947864/0.235448488943994/0.489367009870644/0.227349256530653"
"cl38_chr1"	"4"	"down"	"MI0018002/MI0018001/MI0018003"	"hsa-miR-1273g-3p/hsa-miR-5095/hsa-miR-1273g-5p/hsa-miR-1273f"	"0.005/0.006/0.122/0.007"	"-0.767177945293297/-0.35717695627348/-0.199468112379933/-0.199724410534486"
"cl44_chr1"	"3"	"down"	"MI0016072/MI0000103"	"hsa-miR-101-3p/hsa-miR-101-5p/hsa-miR-3671"	"0.042/0.024/0.499"	"-0.134069574605511/-0.18078434594547/-0.00754074883820634"
"cl51_chr1"	"1"	"down"	"MI0012063/MI0000454"	"hsa-miR-2682-5p/hsa-miR-137/hsa-miR-2682-3p"	"0.003/0.009/0.946"	"-0.593996694457454/-1.43426133833957/-0.0231500438436804"
"cl51_chr1"	"3"	"up"	"MI0012063/MI0000454"	"hsa-miR-2682-5p/hsa-miR-137/hsa-miR-2682-3p"	"0.003/0.001/0.025"	"0.779615949033575/1.73215997096359/0.0939115835048333"
"cl81_chr1"	"1"	"down"	"MI0000290/MI0014136/MI0000281"	"hsa-miR-199a-3p/hsa-miR-199a-5p/hsa-miR-214-3p/hsa-miR-214-5p/hsa-miR-3120-5p/hsa-miR-3120-3p"	"0.074/0.063/0.092/0.02/0.033/0.007"	"-0.438017748762924/-0.814714407728969/-0.901000887923371/-0.833886534652677/-0.621848460223921/-0.485605868703918"
"cl81_chr1"	"2"	"up"	"MI0000290/MI0014136/MI0000281"	"hsa-miR-199a-3p/hsa-miR-199a-5p/hsa-miR-214-3p/hsa-miR-214-5p/hsa-miR-3120-5p/hsa-miR-3120-3p"	"0/0/0/0/0/0"	"2.13256667539943/2.1096482006972/2.081593553977/1.71715320026805/1.26812127313289/1.01557656651042"
"cl81_chr1"	"4"	"down"	"MI0000290/MI0014136/MI0000281"	"hsa-miR-199a-3p/hsa-miR-199a-5p/hsa-miR-214-3p/hsa-miR-214-5p/hsa-miR-3120-5p/hsa-miR-3120-3p"	"0/0/0/0/0/0"	"-1.8547000098563/-1.73761271419257/-1.63798769420517/-1.38763936701973/-0.962098033873028/-0.78860756733288"
